code,name,value,refund
000010,招財玉,10,10
000600,八大明王札,600,600
130001,龍樹滅業棒,3000,1200
130002,北斗施餓鬼供養護摩木,3000,0
120001,三界平定･有気之御柱,2000,300
120002,八大明王如意棒,2000,800
108001,三期滅劫之霊木,800,100
105001,三會龍華之御柱,500,50
105002,三會以外のHP,500,0
102001,収天･灶君護摩木,200,100
101001,天地免劫護摩木,100,40
101002,地護摩木,100,40
100600,四生水子供養護摩木,60,0
100400,原佛子･龍華護摩木,40,0
210000,泉珠暦,1000,0
210001,灶君護摩符,1000,350
210002,大國陰陽符,1000,0
210003,銭型,1000,0
208000,導霊極天護摩符,800,0
205001,人型,500,0
205002,四神獣符,500,200
204001,四生童子符,400,0
210004,五童子符 (3枚1組),1000,0
204002,五童子符（バラ）,400,0
201001,白陽収円符,100,0
201002,白陽八卦符,100,0
201003,みろく鵺符,100,10
201004,おかげ符,100,40
201005,泉珠靖国神社符,100,0
200501,悠神導霊符,50,0
200502,四生因縁護摩符,50,0
200503,宝剣,50,0
200504,天地免劫護摩符,50,0
200301,三期収圓符,30,0
200302,星塔日月符,30,5
200251,四生供養符,25,0
200252,肉食禁止符,25,0
200253,魚介精進解放符,25,0
200201,済公護摩符,20,0
200202,治命普済霊符,20,0
200203,精霊護摩符,20,0
200101,大光明獅子符,10,0
200102,聖荼吉尼天符,10,0
200103,聖弁財天符,10,0
200051,免罪符,5,0
200052,陰陽融合符,5,0
200053,財罪浄化開放符,5,0
200054,大光明旗,5,0
200055,大光明神殿符,5,0
200204,よみかきそろばん符(大人),20,0
200056,よみかきそろばん符(こども),5,0
310000,観音護摩木,1000,0
310001,がん封じ札,1000,0
310002,ぼけ封じ札,1000,0
303001,四生因縁解消護摩木,300,0
301001,供養みくじ,100,0
301003,分堂,1000,0
308000,分堂(ストラップ),800,0
307000,分堂,700,0
305000,次大元の碑(分堂),500,0
303000,分堂,300,0
301000,分堂(3個1組),100,0
513000,龍珠香,1300,0
501500,灯芯,150,0
505000,抹香,500,0
506000,香木,600,0
503500,龍珠塩(大)500g,350,0
502000,龍珠塩(小)旧価格,200,0
503501,五路財神五色金紙,350,0
503502,金紙,350,0
502500,銀紙,250,0
501100,ボールペン,110,0
506300,龍珠塩(1kg)新価格,630,0
503000,しゅう塩(廃盤),300,0
505001,龍珠茶,500,0
600550,命泉,550,0
600450,御神水2L,450,0
600250,御神水泉,250,0
600180,御神水500ml,180,0
600010,祈祷会の水,10,10
440000,オラクルカード,4000,0
420000,御聖訓集,2000,0
410001,天道の道具箱,1000,0
410002,天道道義,1000,0
409000,初級講道師セット,900,0
406001,家郷信書,600,0
406002,天道礼節,600,0
405001,礼節ガイドブック,500,0
405002,チャクラスプレッド,500,0
405003,天道略説,500,0
405004,鳴り護摩DVD,500,0
404500,はじめてセット,450,0
403500,守玄,350,0
403001,国父聖典,300,0
403002,たましいが喜ぶ天道の供養,300,0
403003,天道の神さま,300,0
403004,開運手帳,300,0
403005,礼節携帯ガイド,300,0
403006,院長に聞く,300,0
402501,四恩のおしえ,250,0
402502,五つの施し,250,0
402503,白陽八卦,250,0
402504,農業立国・金剛甘露,250,0
402001,7つのステップ,200,0
402002,得道儀式マニュアル,200,0
402003,講道入門,200,0
402004,献香礼,200,0
402005,道縁,200,0
401501,修霊超抜,150,0
401502,鳴り護摩はじめて物語,150,0
401001,天道知る玄人,100,0
401002,天道がよくわかる本,100,0
401003,天壇,100,0
401004,気天神超度結縁訓,100,0
401005,ノア,100,0
400501,感謝の誠,50,0
400502,新得道者読本,50,0
400200,超抜式のご案内(パンフ),20,0
400100,天声人語,10,0
405005,神国の宝クリアファイル,500,0
401503,天道オリンピックシール,150,0
410003,月刊白陽セット,1000,0
401006,ナチュボーイ,100,0
410004,天道の道具箱(旧版),1000,0
402006,地獄の話,200,0
410005,一理萬類図,1000,0
412000,道統祖師伝,1200,0
700100,収天･灶君護摩木(祈願会),100,0
700500,三會龍華之御柱(祈願会),500,0
701000,八大明王如意棒(祈願会),1000,0
700050,祈願会祈祷料,50,0
800301,内護摩挙行費,300,300
800302,天地免劫護摩挙行費,300,0
800303,四生護摩挙行費,300,0
800304,萬霊救済護摩挙行費,300,0
805000,泉珠卜占見料,500,200
